row,zipcode,state,lat,long
4228,92105,CA,32.73,-117.08
4229,92107,CA,32.73,-117.24
4230,92108,CA,32.77,-117.1
4231,92108,CA,32.77,-117.1
4232,92109,CA,32.79,-117.23
4233,92109,CA,32.79,-117.23
4234,92110,CA,32.77,-117.18
4235,92110,CA,32.77,-117.18
4236,92110,CA,32.77,-117.18
4237,92111,CA,32.8,-117.16
4238,92114,CA,32.71,-117.05
4239,92114,CA,32.71,-117.05
4240,92116,CA,32.76,-117.12
4241,92117,CA,32.81,-117.19
4242,92117,CA,32.81,-117.19
4243,92117,CA,32.81,-117.19
4244,92119,CA,32.81,-117.03
4245,92120,CA,32.79,-117.06
4246,92121,CA,32.9,-117.2
4247,92122,CA,32.85,-117.2
4248,92123,CA,32.8,-117.13
4249,92124,CA,32.82,-117.08
4250,92126,CA,32.88,-117.13
4251,92126,CA,32.88,-117.13
4252,92127,CA,33.02,-117.12
4253,92128,CA,32.99,-117.07
4254,92128,CA,32.99,-117.07
4255,92128,CA,32.99,-117.07
4256,92129,CA,32.96,-117.12
4257,92130,CA,32.95,-117.19
4258,92130,CA,32.95,-117.19
4259,92131,CA,32.89,-117.07
4260,92131,CA,32.89,-117.07
4261,92131,CA,32.89,-117.07
4262,92131,CA,32.89,-117.07
4263,92136,CA,32.67,-117.11
4264,92139,CA,32.68,-117.04
4265,92139,CA,32.68,-117.04
4266,92154,CA,32.56,-117.01
4267,92155,CA,32.67,-117.16
4268,92203,CA,33.75,-116.23
4269,92220,CA,33.92,-116.83
4270,92234,CA,33.82,-116.45
4271,92240,CA,33.92,-116.48
4272,92240,CA,33.92,-116.48
4273,92252,CA,34.15,-116.27
4274,92262,CA,33.85,-116.56
4275,92262,CA,33.85,-116.56
4276,92277,CA,34.24,-115.86
4277,92277,CA,34.24,-115.86
4278,92307,CA,34.57,-117.15
4279,92315,CA,34.23,-116.86
4280,92316,CA,34.06,-117.39
4281,92316,CA,34.06,-117.39
4282,92324,CA,34.01,-117.27
4283,92324,CA,34.01,-117.27
